inst_raw,n_rows,towns,addrs,considerations,book_pages
4997,2,2,2,2,1
5033,2,2,2,2,1
5325,2,2,2,2,1
6006,2,2,2,2,1
6865,2,2,2,2,1
9803,2,2,2,2,1
11293,2,2,2,2,1
11651,2,2,2,2,1
11915,2,2,2,2,1
12714,2,2,2,2,1
12738,2,2,2,2,1
12828,2,2,2,2,1
12951,2,2,2,2,1
13163,2,2,2,2,1
13384,2,2,2,2,1
13926,2,2,2,2,1
15074,2,2,2,2,1
16502,2,2,2,2,1
17092,2,2,2,2,1
17144,2,2,2,2,1
18169,2,2,2,2,1
18188,2,2,2,2,1
18531,2,2,2,2,1
18890,2,2,2,2,1
18964,2,2,2,2,1
19243,2,2,2,2,1
19410,2,2,2,2,1
19670,2,2,2,2,1
19685,2,2,2,2,1
20406,2,2,2,2,1
20588,2,2,2,2,1
21000,2,2,2,2,1
21610,2,2,2,2,1
21710,2,2,2,2,1
21832,2,2,2,2,1
4595,2,2,2,1,1
5403,2,2,2,1,1
6033,2,2,2,1,1
6820,2,2,2,1,1
8296,2,1,2,2,1
8556,2,2,2,1,1
10061,2,1,2,2,1
10500,2,1,2,2,1
10544,2,1,2,2,1
10920,2,2,2,1,1
11619,2,1,2,2,1
12557,2,2,2,1,1
13410,2,1,2,2,1
14134,2,2,2,1,1
16078,2,1,2,2,1
21276,2,2,2,1,1
21337,2,2,2,1,1
7076,2,1,2,1,1
8664,2,1,2,1,1
12196,2,1,2,1,1
15931,2,1,2,1,1
18447,2,1,2,1,1
14260,2,1,2,0,1
